# Simulation 1 (Up to date)
# 318 data points written for 2 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  ""Transition"""
#
#Mach number (​), Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
0.008,0.693
0.008,0.692
0.008,0.691
0.009,0.69
0.009,0.688
0.009,0.686
0.009,0.683
0.009,0.679
0.01,0.675
0.01,0.67
0.011,0.665
0.011,0.659
0.012,0.653
0.013,0.647
0.013,0.642
0.014,0.636
0.015,0.632
0.016,0.627
0.016,0.622
0.017,0.618
0.018,0.614
0.019,0.611
0.019,0.607
0.02,0.604
0.021,0.601
0.022,0.597
0.023,0.594
0.023,0.591
0.024,0.588
0.025,0.585
0.026,0.583
0.027,0.58
0.028,0.577
0.028,0.575
0.029,0.573
0.03,0.57
0.031,0.568
0.032,0.566
0.033,0.564
0.034,0.562
0.035,0.56
0.036,0.558
0.037,0.556
0.037,0.556
0.038,0.556
0.039,0.556
0.04,0.556
0.041,0.556
0.042,0.556
0.043,0.556
0.044,0.556
0.045,0.556
0.046,0.556
0.047,0.556
0.048,0.557
0.049,0.557
0.051,0.557
0.053,0.557
0.057,0.557
0.062,0.557
0.067,0.557
0.072,0.557
0.077,0.557
0.082,0.558
0.084,0.558
0.086,0.558
0.09,0.558
0.095,0.558
0.101,0.558
0.106,0.559
0.112,0.559
0.116,0.559
0.121,0.559
0.127,0.56
0.133,0.56
0.138,0.56
0.144,0.561
0.149,0.561
0.155,0.562
0.161,0.562
0.166,0.563
0.172,0.563
0.178,0.564
0.184,0.564
0.189,0.565
0.195,0.565
0.2,0.566
0.206,0.566
0.211,0.567
0.216,0.567
0.221,0.568
0.226,0.568
0.231,0.569
0.235,0.569
0.236,0.569
0.238,0.57
0.24,0.57
0.243,0.57
0.248,0.571
0.252,0.571
0.257,0.572
0.26,0.572
0.262,0.573
0.262,0.573
# Event SIM_WARN occurred at t=2.67 seconds: Open forward airframe (diameter > 0):  ""Transition"""
# Event BURNOUT occurred at t=2.67 seconds
# Event STAGE_SEPARATION occurred at t=2.67 seconds
0.262,0.962
0.26,0.962
0.257,0.961
0.254,0.961
0.252,0.96
0.25,0.96
0.249,0.96
0.247,0.96
0.244,0.959
0.241,0.959
0.239,0.958
0.237,0.958
0.234,0.957
0.232,0.957
0.229,0.957
0.227,0.956
0.224,0.956
0.222,0.956
0.219,0.955
0.217,0.955
0.215,0.955
0.212,0.954
0.21,0.954
0.208,0.954
0.205,0.953
0.203,0.953
0.201,0.953
0.199,0.952
0.197,0.952
0.194,0.952
0.192,0.951
0.19,0.951
0.188,0.951
0.186,0.951
0.184,0.95
0.182,0.95
0.18,0.95
0.178,0.95
0.175,0.949
0.173,0.949
0.171,0.949
0.169,0.949
0.167,0.949
0.165,0.948
0.164,0.948
0.162,0.948
0.16,0.948
0.158,0.947
0.156,0.947
0.154,0.947
0.152,0.947
0.15,0.947
0.148,0.946
0.146,0.946
0.145,0.946
0.143,0.946
0.141,0.946
0.139,0.946
0.137,0.945
0.136,0.945
0.134,0.945
0.132,0.945
0.13,0.945
0.129,0.945
0.127,0.945
0.125,0.944
0.123,0.944
0.122,0.944
0.12,0.944
0.118,0.944
0.117,0.944
0.115,0.944
0.113,0.943
0.112,0.943
0.11,0.943
0.108,0.943
0.107,0.943
0.105,0.943
0.104,0.943
0.102,0.943
0.1,0.943
0.099,0.942
0.097,0.942
0.095,0.942
0.094,0.942
0.092,0.942
0.091,0.942
0.089,0.942
0.087,0.942
0.086,0.942
0.084,0.942
0.083,0.941
0.081,0.941
0.08,0.941
0.078,0.941
0.076,0.941
0.075,0.941
0.073,0.941
0.072,0.941
0.07,0.941
0.069,0.941
0.068,0.941
0.066,0.941
0.065,0.941
0.063,0.94
0.061,0.94
0.06,0.94
0.058,0.94
0.057,0.94
0.056,0.94
0.054,0.94
0.053,0.94
0.052,0.94
0.05,0.94
0.049,0.94
0.048,0.94
0.046,0.94
0.045,0.94
0.044,0.94
0.043,0.94
0.041,0.94
0.04,0.94
0.038,0.94
0.037,0.94
0.036,0.94
0.034,0.941
0.033,0.943
0.032,0.945
0.03,0.947
0.029,0.949
0.028,0.951
0.027,0.953
0.026,0.954
0.025,0.957
0.024,0.959
0.023,0.961
0.022,0.963
0.021,0.965
0.021,0.966
0.02,0.968
0.02,0.969
0.019,0.972
0.019,0.972
0.018,0.974
0.017,0.977
0.017,0.977
# Event APOGEE occurred at t=9.889 seconds
0.017,0.976
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=9.89 seconds
0.018,35.124
0.017,35.124
0.018,35.124
0.019,35.124
0.02,35.124
0.021,35.124
0.023,35.124
0.026,35.124
0.028,35.124
0.031,35.124
0.033,35.124
0.035,35.124
0.037,35.124
0.04,35.124
0.042,35.124
0.044,35.124
0.044,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
0.045,35.124
# Event EJECTION_CHARGE occurred at t=18.67 seconds
0.045,35.124
0.045,35.124
0.045,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
0.044,35.124
# Event GROUND_HIT occurred at t=37.646 seconds
# Event SIMULATION_END occurred at t=37.646 seconds
0.044,35.124
